MilestoneID,ProjectID,MilestoneName,PlannedDate,ActualDate,Status
MS00001,PJ0001,First Possession,2025-04-03,,Complete
MS00002,PJ0001,50% Physical Complete,2025-02-22,2025-02-23,Complete
MS00003,PJ0001,T-1 Access Confirmed,2025-05-26,2025-06-06,Complete
MS00004,PJ0002,Handback,2025-08-29,2025-09-10,Complete
MS00005,PJ0002,Construction Start,2025-08-05,,Complete
MS00006,PJ0002,GRIP 4 Approval,2024-09-19,2024-10-05,Complete
MS00007,PJ0002,T-1 Access Confirmed,2025-08-04,2025-08-10,Complete
MS00008,PJ0002,Site Set-Up,2025-08-15,2025-08-06,Complete
MS00009,PJ0003,50% Physical Complete,2024-10-24,,At Risk
MS00010,PJ0003,First Possession,2024-11-01,2024-10-26,Complete
MS00011,PJ0003,GRIP 4 Approval,2025-02-24,2025-03-09,Complete
MS00012,PJ0004,Construction Start,2025-03-01,2025-02-26,Complete
MS00013,PJ0004,First Possession,2025-05-13,2025-05-23,Complete
MS00014,PJ0004,50% Physical Complete,2025-06-16,2025-07-16,Complete
MS00015,PJ0005,GRIP 4 Approval,2025-07-15,2025-07-07,Complete
MS00016,PJ0005,Design Freeze,2024-09-01,,At Risk
MS00017,PJ0005,Site Set-Up,2025-07-07,,At Risk
MS00018,PJ0005,50% Physical Complete,2025-08-06,,Not Started
MS00019,PJ0006,GRIP 5 Approval,2025-06-02,2025-06-20,Complete
MS00020,PJ0006,Design Freeze,2025-08-23,2025-09-14,Complete
MS00021,PJ0006,Handback,2025-07-04,,At Risk
MS00022,PJ0007,50% Physical Complete,2025-03-13,2025-05-12,Slipped
MS00023,PJ0007,T-12 Timetable Lock,2025-08-13,2025-08-03,Complete
MS00024,PJ0007,Construction Start,2025-07-21,2025-07-25,Complete
MS00025,PJ0008,GRIP 5 Approval,2025-07-02,,At Risk
MS00026,PJ0008,Construction Start,2025-07-29,2025-07-21,Complete
MS00027,PJ0008,T-1 Access Confirmed,2025-03-31,,At Risk
MS00028,PJ0008,GRIP 4 Approval,2025-08-15,,Complete
MS00029,PJ0008,First Possession,2025-10-12,2025-11-07,Complete
MS00030,PJ0009,GRIP 7 Handover,2025-08-07,2025-07-28,Complete
MS00031,PJ0009,T-1 Access Confirmed,2025-07-25,2025-08-17,Complete
MS00032,PJ0009,Design Freeze,2025-05-08,2025-06-16,Slipped
MS00033,PJ0009,T-12 Timetable Lock,2025-08-06,2025-08-04,Complete
MS00034,PJ0009,Handback,2025-06-16,2025-06-15,Complete
MS00035,PJ0010,T-12 Timetable Lock,2025-06-02,,Not Started
MS00036,PJ0010,Construction Start,2024-12-12,2025-01-25,Slipped
MS00037,PJ0010,50% Physical Complete,2025-06-27,2025-07-24,Complete
MS00038,PJ0010,Handback,2025-06-27,,At Risk
MS00039,PJ0011,GRIP 4 Approval,2025-08-11,2025-09-18,Slipped
MS00040,PJ0011,T-12 Timetable Lock,2025-08-04,2025-08-03,Complete
MS00041,PJ0011,Defects Liability End,2025-07-13,,At Risk
MS00042,PJ0011,GRIP 7 Handover,2026-04-03,,At Risk
MS00043,PJ0011,First Possession,2026-01-10,2026-02-18,Slipped
MS00044,PJ0012,T-1 Access Confirmed,2025-08-28,,At Risk
MS00045,PJ0012,T-12 Timetable Lock,2025-05-14,2025-06-05,Slipped
MS00046,PJ0012,Construction Start,2025-07-13,,Not Started
MS00047,PJ0013,Site Set-Up,2024-10-21,2024-10-26,Complete
MS00048,PJ0013,50% Physical Complete,2025-01-18,2025-02-20,Slipped
MS00049,PJ0013,T-12 Timetable Lock,2025-06-28,2025-06-18,Complete
MS00050,PJ0014,GRIP 7 Handover,2025-08-26,,At Risk
MS00051,PJ0014,50% Physical Complete,2025-08-05,2025-09-09,Slipped
